"date","almonds","apples","Atlantic herring","aurochs","bacon","barley groats","beef","beer vinegar","Big sheep cheese","black grouse","boar bacon","Brandenburg hard cheese","brined/pickled castrated ram (wether)","brined/pickled goose","brined/pickled lamb","brined/pickled sheep","buckwheat groats","burpot","bustard","butter","calf trunk","candied lemon peel","capercaillie","capon","caraway","carp","carp (type unknown)","chameleon loach","cherry sauce","cherry sauce or marmalade","chestnuts","cinnamon","citrons","cloves","coarse salt","cod","cooking wine","coot","corned beef","cow tongue","cow trunk","crabs","crucian carp","curlew","currants","dates","Deer","deer tongue","doves","dried beef","dried carp","dried common roach","dried eel","dried geese","dried lamb","dried lamprey","dried maraena whitfish","dried mutton","dried pike-perch","dried plums","Dried roe","dried salmon","dried sheep","dried white bream","ducks","eggs","European white fish","fattened pig","fieldfare","figs","finch","fine salt","fish guts","flounder","geese","ginger","Gouda Cheese","gray partridge","gudgeon","haddock","half dried white bream","half-smoked salmon","ham","hazel grouse","hen","honey","jellied eel","lamb","lamprey","lard","lark","lemons","mace","millet gruel","Moose & Calves","Moose and pickeled game (probably also moose)","mustard","mutton","nutmeg","oat groats","olives","oxen","oysters","pearl barley","pearl barley groats","peas","pepper","perch","pickled carp","Pickled deer","pickled eel","pickled gudgeon","pickled herring","pickled lamprey","pickled pike","pickled pike-perch","pickled pork","pickled salmon","pickled sturgeon","pickled wild cow","pig","pig's head","pike","pike-perch","pinenuts","pistachios","Plums","Pomagranates","poppy seeds","preserved barberries","preserved sturgeon","quail","Quark","rabbit","raisins","rice","rice flour","roe deer","saffron","salmon","salmon trout","salted cod","sandpipers","sardines","sheep","small birds","Small sheep cheese","small, edible fish","smoked fish","snails","snow bunting","sparrows & skylarks","spiced gudgeon","spicy sauerkraut","starling","sturgeon","suckling pig","sugar","swans","tench","thrush","turbot","turkey","various small fish ","veal","vimba bream","water mannagrass","waxwing","Wels catfish","westphalian ham","wheat flour","wild boar","wild geese","wine vinegar","yellow hammer","young boar"
1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1641,491,NA,NA,NA,275.87,2,5.25,8438,22,228,25.12,17195,NA,288,7,11,261.5,1798,NA,8619.5,NA,1.5,22,842,NA,10825,NA,NA,NA,NA,0,23.2,990,13,3812,1356,NA,NA,245,60,164,NA,1267,12,434,NA,31.5,41,121,506,732,NA,0,297,2,0,90,NA,492,NA,NA,61,8,NA,742,104832,144,NA,729,NA,NA,3744,NA,NA,1165,204.72,13,52,523,20,162,293.5,NA,595,5596,NA,24,463.5,1220,NA,2679,2757,26.2,178,15.75,28.87,57,737.25,14.828,459.5,121.5,1,3456,662,NA,1994.5,217.59,60,2388,17.25,18600,24,876,192,1848,12160,NA,192,NA,NA,59.75,190.5,6322,8,NA,NA,636,381,NA,NA,NA,3,340,87,425.5,520,NA,67,7.9,308,39,497,167,NA,1268.5,649,1071,5280,15480,NA,NA,NA,143,528,107,1,432,2333,NA,1,1680,NA,196,96,977.85,20,120.5,343,NA,3,NA,41,20,NA,2092,13
1642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1644,250.5,NA,NA,NA,231.87,149.5,2,4352,4,74,NA,5635,NA,NA,55.5,143,455.5,NA,NA,4828.5,NA,NA,26,609,NA,1809,NA,NA,0.875,NA,0,20.14,132,10.484,2696,744,NA,NA,540,168,125,NA,NA,NA,245.75,NA,17.25,NA,263,482,135,180,NA,108,NA,0,NA,NA,158,NA,NA,37,148.25,NA,304,74731,NA,NA,3,NA,NA,2112,NA,NA,580,115.75,2,58,1196,NA,538,NA,NA,177,3253,24,240,140,NA,9.5,1232,1702,22.9,60,NA,NA,10,194.12,14.5,463,24,1,2592,432,NA,1427,134.25,NA,NA,6.25,1572,348,1560,264,120,NA,NA,1080,NA,NA,26,142.5,4035,NA,NA,NA,345,65,NA,NA,NA,649,312,87,214.75,547,NA,62.75,3.3,56.5,NA,565,125,NA,1164.75,50,204,4032,390,NA,NA,NA,NA,41555,24,NA,227,1524.4,NA,NA,116,1,133,132,523.13,NA,45.5,NA,NA,NA,NA,31.37,12,NA,NA,20.25
1645,571.5,NA,NA,0.5,365.87,1431.5,14.5,5518,10,122,2,21785,NA,7,NA,10.25,753,NA,NA,7978,NA,0,51,858,NA,3077,NA,NA,NA,60.5,0,35.203,462,17.328,4382,1668,NA,NA,120,328,289,NA,1000,NA,580,NA,37.75,NA,NA,611,0,1260,0,128,NA,2500,0,NA,288,NA,NA,8,NA,NA,982,117328,268,NA,197,NA,NA,3648,6,NA,882,221.75,52,123,694,NA,481,NA,NA,485,6603,24,48,485.75,420,29.5,3229,4112,42.14,204,10.75,1,NA,860.75,22.03,936,31,1,192,789,NA,2195,247.8125,NA,228,8,1200,120,3240,300,100,2844,1.5,NA,NA,0.62,53,145.5,10578,NA,NA,NA,1134,112,NA,NA,NA,1,216,249,496.75,837,NA,80.75,8.7,165.5,NA,1169,256,NA,1172.25,296,515,3576,4080,NA,NA,NA,66,240,19,NA,160,3414,NA,266,345,NA,168,156,685.85,NA,97,580,NA,NA,NA,30.75,41,NA,2685,18.37
1646,636.75,NA,0,2,476.75,452,6,10848,8,287,0.5,7493,NA,NA,NA,38,1470.5,240,4,8099.5,NA,0,94,871,NA,9142,NA,NA,11,NA,0,41.6,447,18.2,4826,2256,NA,NA,192,NA,542.125,NA,NA,NA,663.25,0,NA,NA,385,643,300,412,NA,60,NA,0,0,NA,NA,NA,NA,0,35.25,1080,490,115500,288,NA,3180,NA,NA,3835,NA,0,2876,335.2,99,516,2076,8.5,NA,0,NA,1057,5619,6,312,366.5,630,2,60,4778,41.3,456,54.25,NA,48,931.25,22.9,1275,127,5,NA,408.5,NA,3390,344.3,NA,NA,11,2640,156,3924,60,0,1920,NA,480,NA,NA,60.25,115,7665,18,NA,NA,2070,65,NA,NA,NA,NA,199,457,661.2,666.5,NA,127.75,15.7,96.5,0,1793,25,NA,1381,391,553,504,0,NA,NA,NA,0,240,NA,1,170,3296.25,NA,NA,2351,0,358,340,779.75,0,51,186,0,NA,NA,86.25,25,NA,4453,74.25
1647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648,27,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2085,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,24,0.25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,24,NA,NA,NA,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
