"date","black grouse","bustard","capercaillie","capon","coot","curlew","dried geese","fieldfare","finch","geese","gray partridge","hazel grouse","hens","lark","quail","sandpipers","small birds","snow bunting","Starling","swans","thrush","type of sparrow & skylarks","waxwing","wild and domestic doves","wild and domestic ducks","wild geese","wild turkey","yellow hammer"
1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,228,,22,842,,12,297,729,,1165,52,595,5596,2679,3,167,649,,107,,1680,,343,121,742,20,196,2092
1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,74,,26,609,,,108,3,,580,58,177,3253,1232,649,125,50,,24,,116,,,263,304,12,133,
1645,122,,51,858,,,128,197,,882,123,485,6603,3229,1,256,296,,19,,345,,580,,982,41,168,2685
1646,287,4,94,871,,,60,3180,,2876,516,1057,5619,60,,25,391,,,,2351,,186,385,490,25,358,4453
1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,0,0,0,0,0,0,0,0,0,23,0,0,89,0,0,0,0,,,0,12,,,2,0,0,0,0
1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,,,,12,,,,,,42,,,122,,,,,,,,,,15,,,,3,
1663,853,3,86,515,43,11,117,1423,,1730,3639,1696,14760,,26,311,118,,,,18,280,2076,,4617,47,79,7109
1664,69,,8,250,8,13,44,762,,654,62,487,4210,,13,,,,,,2068,,,243,759,19,293,2491
1665,,,,8,,,,,,83,,4,231,,,,,,,,,,,10,,,7,
1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,,,,0,,1,15,2,,12,,,62,24,,6,0,,6,,,,,50,41,,6,
1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,0,,0,20,,,10,,,41,10,9,342,190,,41,426,,,,46,,,80,78,,21,
1671,2,,,17,,,,,,6,,2,66,,,,,,,,,,,12,4,,5,
1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,7,,,28,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,43,,,53,,,,20,,128,132,21,343,,,,135,,,,,,130,,10,,77,
1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,,,,134,,,,40,,159,,,1326,,,,,,,,,,240,,56,,136,
1682,,,,,,,,,,,,,58,,,,,,,,,,,13,,,,
1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,,,,,,,,,,4,,,58,,,,,,,,,,,,12,,,
1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
