"id","year","country","percent"
"1",1640,"black.grouse",
"2",1641,"black.grouse",228
"3",1642,"black.grouse",
"4",1643,"black.grouse",
"5",1644,"black.grouse",74
"6",1645,"black.grouse",122
"7",1646,"black.grouse",287
"8",1647,"black.grouse",
"9",1648,"black.grouse",
"10",1649,"black.grouse",
"11",1650,"black.grouse",
"12",1651,"black.grouse",
"13",1652,"black.grouse",
"14",1653,"black.grouse",
"15",1654,"black.grouse",
"16",1655,"black.grouse",
"17",1656,"black.grouse",
"18",1657,"black.grouse",
"19",1658,"black.grouse",
"20",1659,"black.grouse",0
"21",1660,"black.grouse",
"22",1661,"black.grouse",
"23",1662,"black.grouse",
"24",1663,"black.grouse",853
"25",1664,"black.grouse",69
"26",1665,"black.grouse",
"27",1666,"black.grouse",
"28",1667,"black.grouse",
"29",1668,"black.grouse",
"30",1669,"black.grouse",
"31",1670,"black.grouse",0
"32",1671,"black.grouse",2
"33",1672,"black.grouse",
"34",1673,"black.grouse",
"35",1674,"black.grouse",
"36",1675,"black.grouse",
"37",1676,"black.grouse",
"38",1677,"black.grouse",
"39",1678,"black.grouse",
"40",1679,"black.grouse",43
"41",1680,"black.grouse",
"42",1681,"black.grouse",
"43",1682,"black.grouse",
"44",1683,"black.grouse",
"45",1684,"black.grouse",
"46",1685,"black.grouse",
"47",1686,"black.grouse",
"48",1687,"black.grouse",
"49",1688,"black.grouse",
"50",1640,"bustard",
"51",1641,"bustard",
"52",1642,"bustard",
"53",1643,"bustard",
"54",1644,"bustard",
"55",1645,"bustard",
"56",1646,"bustard",4
"57",1647,"bustard",
"58",1648,"bustard",
"59",1649,"bustard",
"60",1650,"bustard",
"61",1651,"bustard",
"62",1652,"bustard",
"63",1653,"bustard",
"64",1654,"bustard",
"65",1655,"bustard",
"66",1656,"bustard",
"67",1657,"bustard",
"68",1658,"bustard",
"69",1659,"bustard",0
"70",1660,"bustard",
"71",1661,"bustard",
"72",1662,"bustard",
"73",1663,"bustard",3
"74",1664,"bustard",
"75",1665,"bustard",
"76",1666,"bustard",
"77",1667,"bustard",
"78",1668,"bustard",
"79",1669,"bustard",
"80",1670,"bustard",
"81",1671,"bustard",
"82",1672,"bustard",
"83",1673,"bustard",
"84",1674,"bustard",
"85",1675,"bustard",
"86",1676,"bustard",
"87",1677,"bustard",
"88",1678,"bustard",
"89",1679,"bustard",
"90",1680,"bustard",
"91",1681,"bustard",
"92",1682,"bustard",
"93",1683,"bustard",
"94",1684,"bustard",
"95",1685,"bustard",
"96",1686,"bustard",
"97",1687,"bustard",
"98",1688,"bustard",
"99",1640,"capercaillie",
"100",1641,"capercaillie",22
"101",1642,"capercaillie",
"102",1643,"capercaillie",
"103",1644,"capercaillie",26
"104",1645,"capercaillie",51
"105",1646,"capercaillie",94
"106",1647,"capercaillie",
"107",1648,"capercaillie",
"108",1649,"capercaillie",
"109",1650,"capercaillie",
"110",1651,"capercaillie",
"111",1652,"capercaillie",
"112",1653,"capercaillie",
"113",1654,"capercaillie",
"114",1655,"capercaillie",
"115",1656,"capercaillie",
"116",1657,"capercaillie",
"117",1658,"capercaillie",
"118",1659,"capercaillie",0
"119",1660,"capercaillie",
"120",1661,"capercaillie",
"121",1662,"capercaillie",
"122",1663,"capercaillie",86
"123",1664,"capercaillie",8
"124",1665,"capercaillie",
"125",1666,"capercaillie",
"126",1667,"capercaillie",
