"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"3","Atlantic herring","Strömlinge","","Fish","Fish","","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.142857143",2,1,,"",,,"","","0",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"18","burpot","Quappen","","Fish","Fish","","Stück (Piece)",0.9198530757,,,0.8100198726,,,,-0.8923947749,,,,,-0.8374781734,,,,,,,,,,,,,,,,,,,,"4.875",32,0,,"1798",,,"","","240",,,,,,,,,,"",,,0,,,,"","",,,,"0",,,,,,,,,,,,,,,,,,,,
"26","carp","Frische Fische: Karpffen","","Fish","Fish","","Stück (Piece)",-0.933318476,0,0.8296164231,2.074041058,,,,0.5530776154,-1.244424635,-0.7259143702,0.4148082115,,-0.2419714567,,-0.7259143702,,,,,,,,,,,,,,,,,,"35.8",97,0,,"10825",,,"1809","3077","9142",,,,,,,,,,"",,,52,,,0,"12925","3598",,,,"36",,,15,,,,,,,,,,,,,,,,,
"27","chameleon loach","Schmerllen","","Fish","Fish","","Stück (Piece)",,-0.7625563951,,-0.3901451324,,,,-0.8866934827,,2.030528075,-0.3280765886,,0.4788144806,,,,,,,,,,-0.1418709572,,,,,,,,,,"250.7272727",1311,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,1311,360,,,,,,,,780,,,300,,,,,,
"36","common bream","Breßem","","Fish","Fish","","Stück (Piece)",-0.7071067812,,,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.66666667",225,0,,"523",,,"1196","694","2076",,,,,,,,,,"",,,0,,,,"13973","107",,,,"64",,,,,,225,,,,,,,,,,,,,,
"51","dried carp","Treüge Karpffen","","Fish","Fish","","Stück (Piece)",,-0.2816816752,-0.4049174081,-0.07312889645,,,,-0.6134701869,,-0.3006410187,-0.5565921563,,,,,,2.230431342,,,,,,,,,,,,,,,,"22",88,1,,"732",,,"135","0","300",,,,,,,,,,"",,,,,,,"79","",,,,"0",,,,,,,,,,,,,,,,,,,,
"52","dried common roach","Treüge Plözen/Plötzen","","Fish","Fish","","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.11111111",300,0,,"",,,"180","1260","412",,,,,,,,,,"",,,0,,,,"1920","1080",,,,"",,,,,300,,,,,,,,,,,,,,,
"53","dried eel","Treüge Aal","","Fish","Fish","","Stück (Piece)",1.062856056,-0.7393781261,-0.2195028812,1.68670635,,,,-1.016644923,,-0.7047197764,1.097514406,,-0.4967696785,-0.6700614268,,,,,,,,,,,,,,,,,,,"1.428571429",2,1,,"0",,,"","0","",,,,,,,,,,"",,,,,,,"0","",,,,"0",,,,,,,,,,,,,,,,,,,,
"56","dried lamprey","dried lamprey","","Fish","Fish","","Stück (Piece)",1.788784132,,-0.4420793735,-0.4420793735,,,,-0.4625460112,,,,,-0.4420793735,,,,,,,,,,,,,,,,,,,,"7.25",49,0,,"0",,,"0","2500","0",,,,,,,,,,"",,,0,,,,"","",,,,"0",,,,,,,,,,,,,,,,,,,,
"57","dried maraena whitefish","Treüge Schnepeln","","Fish","Fish","","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.25",2,0,,"90",,,"","0","0",,,,,,,,,,"",,,0,,,,"","",,,,"0",,,,,,,,,,,,,,,,,,,,
"59","dried pike-perch","Treüge gerßen Zanten","","Fish","Fish","","Stück (Piece)",,,,,,-0.6481099772,0.8527762858,-0.7845541829,,-0.7163320801,0.5116657715,,1.944329932,-0.6481099772,-0.5116657715,,,,,,,,,,,,,,,,,,"26.75",85,0,,"492",,,"158","288","",,,,,,,,,,"",,,0,,,,"7150","",,,,"50",,,,,,,,,,,,,,,,,,,,
"61","dried roe","Treüge Rögen","","Fish","Fish","","Stück (Piece)",0.9771024503,0.2426361789,1.239411833,-1.409912932,,,,-1.43614387,,0.2426361789,0.4787146233,,-0.3344444629,,,,,,,,,,,,,,,,,,,,"7.857142857",49,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"785",,,,,,,,,,,,,,,,,,,,
"62","dried salmon","Treüge Lächße","","Fish","Fish","","Stück (Piece)",1.607977056,-0.2150201877,,0.2290432434,,,,-0.8226859354,,,,,-0.7993141759,,,,,,,,,,,,,,,,,,,,"44.125",103,0,,"61",,,"37","8","0",,,,,,,,,,"",,,0,,,,"48","64",,,,"62.25",,,,,,,,,,,,,,,,,,,,
"64","dried white bream","Treüge Breßem","","Fish","Fish","","Stück (Piece)",1.379323033,0.167755504,1.594712816,0.4369927326,,,,-1.393820422,,0.2216029497,0.733153684,,-0.4784138447,0.7062299612,-1.28612553,,,,,,,,-1.124583193,,0.1139080583,,,,,,-1.070735748,,"194.4545455",900,1,,"",,,"","","1080",,,,,,,,,,"",,,23,,,,"","",,,,"401",,,,720,900,,,450,,,,,,,,,,,,
