"date","Atlantic herring","burpot","carp","chameleon loach","common bream","dried carp","dried common roach","dried eel","dried lamprey","dried maraena whitefish","dried pike-perch","dried roe","dried salmon","dried white bream","flounder","haddock","half dried white bream","half-smoked salmon","lamprey","perch","pike","salmon","salmon trout","sardines","smoked fish","spiced gudgeon","sturgeon","turbot","vimba bream","Wels catfish"
"1640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1641",," 1798.0","10825.0",,"  523.0","  732.0",,"    0.0","    0.0","   90.0","  492.0",,"   61.0",,,"   20.0","  162.0","  293.5"," 1220.0","   60.0"," 6322.0","  308.0","   39.0",,"15480.0","  143.0","    1.0",,"   20.0",
"1642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1644",,,"1809.0",,"1196.0"," 135.0"," 180.0",,"   0.0",," 158.0",,"  37.0",,,," 538.0",,,,"4035.0","  56.5",,," 390.0",,,"   1.0",,
"1645",,," 3077.0",,"  694.0","    0.0"," 1260.0","    0.0"," 2500.0","    0.0","  288.0",,"    8.0",,,,"  481.0",,"  420.0",,"10578.0","  165.5",,," 4080.0","   66.0",,,,
"1646","   0.0"," 240.0","9142.0",,"2076.0"," 300.0"," 412.0",,"   0.0","   0.0",,,"   0.0","1080.0","   0.0","   8.5",,"   0.0"," 630.0",,"7665.0","  96.5","   0.0",,"   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"
"1647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1656",,,,,,,,,,,,,,,,,,,,,,,,"96",,,,,,
"1657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1659",," 0.0","52.0",," 0.0",," 0.0",," 0.0"," 0.0"," 0.0",," 0.0","23.0",,,,,,,"64.0"," 2.5",," 0.0"," 0.0"," 0.0",,,,
"1660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1662",,," 0",,,,,,,,,,,,,,,,,,"59",,,,,,,,,
"1663",,,"12925",,"13973","   79"," 1920","    0",,," 7150",,"   48",,,,,,,,"12547","  242","   18",," 9180","   34","    3","    1",,
"1664",,,"3598",," 107",,"1080",,,,,,"  64",,,,,,,,"3221","  20",,"3648",,,,,,
"1665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1668",,"  0.00"," 36.00",," 64.00","  0.00",,"  0.00","  0.00","  0.00"," 50.00","785.00"," 62.25","401.00",,,,,,,"285.00","  4.00","  0.00"," 48.00","750.00","  0.00","  0.00","  0.00",,"  1.00"
"1669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1670",,,,"1311",,,,,,,,,,,,,,,,,"  24","   1","  19",,,,,,,
"1671",,," 15","360",,,,,,,,,,,,,,,,," 16",,,,,,,,,
"1672",,,,,,,,,,,,,,"720",,,,,,,,,,,,,,,,
"1673",,,,,,,"300",,,,,,,"900",,,,,,,,,,,,,,,,
"1674",,,,,"225",,,,,,,,,,,,,,,,,,,,,,,,,
"1675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1676",,,,,,,,,,,,,,"450",,,,,,,,,,,,,,,,
"1677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1679",,,,"780",,,,,,,,,,,,,,,,,"172"," 22",,,,,,,,
"1680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1682",,,,"300",,,,,,,,,,,,,,,,,,"  4",,,,,,,,
"1683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
