"date","Atlantic herring","burpot","carp","chameleon loach","cod","Commonäroach","Coregonusälavaretus","dried äääää","dried carp","dried eel","dried lamprey","Dried roe","dried salmon","dried white bream","dried zander","fish guts","Flounder","Gudgeon","Haddock","half dried white bream","half-smoked salmon","jellied eel","lamprey","oysters","perch","pickled carp","pickled eel","pickled Gudgeon","pickled herring","pickled lamprey","pickled pike","pickled salmon","pickled sturgeon","pickled zander","pike","preserved sturgeon","salmon","salmon trout","salted cod","sardines","smoked fish","Speißfische","spiced Gudgeon","sturgeon","Tench","turbot","Unclear","various small fish","Wels catfish","Zander"
1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,,1798,10825,,1356,,144,90,732,0,0,,61,,492,,,523,20,162,293.5,24,1220,3456,60,2388,18600,24,876,192,1848,192,,12160,6322,,308,39,497,,15480,5280,143,1,1,,,96,,8
1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,,,1809,,744,180,,,135,,0,,37,,158,,,1196,,538,,240,,2592,,,1572,348,1560,264,120,1080,,,4035,,56.5,,565,,390,4032,,,,1,,132,,
1645,,,3077,,1668,1260,268,0,0,0,2500,,8,,288,6,,694,,481,,48,420,192,,228,1200,120,3240,300,100,,,2844,10578,,165.5,,1169,,4080,3576,66,,266,,,156,,
1646,0,240,9142,,2256,412,288,0,300,,0,,0,1080,,,0,2076,8.5,,0,312,630,,,,2640,156,3924,60,0,480,,1920,7665,,96.5,0,1793,,0,504,0,1,,0,,340,0,18
1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
