"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"1","almonds",NA,"Nuts","Flavorings","","Pfund (lb)",0.6648770239,-0.09806936102,1.003964306,0.777906118,-0.7479866519,-1.341389396,-0.04155481399,-0.2676130021,NA,0.5518479298,0.09973155358,NA,-1.115331208,-0.2958702756,0.8626779385,0.5235906563,2.219027067,-1.341389396,NA,NA,NA,NA,-1.45441849,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.4375",132,2,NA,"491",NA,NA,"250.5","571.5","636.75",NA,27,NA,NA,NA,NA,NA,NA,NA,"188",52,NA,44,NA,NA,NA,"588","414",NA,NA,NA,"14",NA,43,84,72,132,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","beer vinegar",NA,"Acid","Flavorings","","Stof (Fluids)",1.921610325,0.9670039053,1.403395411,-0.8058365878,-0.8058365878,NA,NA,-0.9967578716,NA,-0.6694642421,-0.2603472053,NA,0.2033187698,NA,NA,-0.6967387113,-0.2603472053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.45454545",89,0,NA,"8438",NA,NA,"4352","5518","10848",NA,7,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"12053","1920",NA,NA,NA,"63.5",NA,NA,NA,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","caraway",NA,"Spice","Flavorings","","Pfund (lb)",NA,NA,NA,NA,NA,-0.5411673671,NA,-0.6127924598,NA,1.153959827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.5",75,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,0,NA,NA,NA,"590","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","chestnuts",NA,"Nuts","Flavorings","","Pfund (lb)",0.7797418979,0.5316422031,1.524040982,1.134170033,NA,0,-0.4430351693,-0.8293618368,NA,2.162011626,0.7088562708,NA,-0.7088562708,-0.8222732741,-0.8258175555,-0.8116404301,-0.8222732741,-0.7797418979,NA,NA,NA,NA,-0.7974633047,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.2",166,1,NA,"0",NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,4,2,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","cinnamon",NA,"Spice","Flavorings","","Pfund (lb)",0.5813586057,-0.7417333934,0.09898131432,-0.1628806438,NA,NA,NA,-0.9760309349,NA,-0.7279511851,0.01628806438,NA,-0.6039113102,0.7743095222,-0.7279511851,NA,NA,NA,NA,NA,NA,NA,2.469521146,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23",86,0.6,NA,"23.2",NA,NA,"20.14","35.203","41.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"83.25",11.5,NA,0.6,NA,NA,NA,"74.34","31.8125",NA,NA,NA,"0.5",NA,0.8,0.7,1.1,0.8,2,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","cloves",NA,"Spice","Flavorings","","Pfund (lb)",0.7962080515,0.1508604729,1.164978096,0.7040155402,NA,NA,NA,-1.278123451,NA,0.5196305178,0.7962080515,NA,-1.324219707,0.381341751,-1.739086007,NA,NA,NA,NA,NA,NA,NA,-0.1718133164,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.13165625",77,0.25,NA,"13",NA,NA,"10.484","17.328","18.2",NA,0.25,NA,NA,NA,NA,NA,NA,NA,"52.125",11,NA,0.5,NA,NA,NA,"60.7","20.5625",NA,NA,NA,"0.375",NA,0.344,0.375,0.5625,0.375,2,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","coarse salt",NA,"Salt","Flavorings","","Stof (Fluids)",-0.8053414565,0.3973255416,-0.6610214168,-0.6610214168,NA,NA,NA,-0.9336259363,NA,-0.484630257,0.0124721022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.952774859,NA,1.18306798,NA,NA,NA,NA,NA,NA,NA,"46.09090909",78,1,NA,"3812",NA,NA,"2696","4382","4826",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,24,NA,NA,NA,"4786","577",NA,NA,NA,"24",NA,60,14,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","cooking wine",NA,"Acid","Flavorings","","Stof (fluids)",NA,NA,NA,NA,NA,NA,NA,-1.097730108,NA,0.23863698,0.8590931278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.555555556",18,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","fine salt",NA,"Salt","Flavorings","","Stof (Fluids)",NA,NA,1.482157394,NA,NA,-0.4940524647,NA,NA,NA,0.4359286453,-0.2906190969,NA,-1.133414478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80.14285714",432,1,NA,"3744",NA,NA,"2112","3648","3835",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,48,NA,NA,NA,"5644","782",NA,NA,NA,"24",NA,84,48,72,72,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,24,NA
"72","fish guts",NA,"Fish","Flavorings","","Pfund (lb)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.57142857",92,1,NA,"",NA,NA,"","6","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,"4","20",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
