translation,original,notes,category,macrocategory,subcategory,unit of measure,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
almonds,Mandeln,,Nuts,Flavorings,,Pfund (lb),0.6648770239,-0.09806936102,1.003964306,0.777906118,-0.7479866519,-1.341389396,-0.04155481399,-0.2676130021,,0.5518479298,0.09973155358,,-1.115331208,-0.2958702756,0.8626779385,0.5235906563,2.219027067,-1.341389396,,,,,-1.45441849,,,,,,,,,,52.4375,132,2,,491,,,250.5,571.5,636.75,,27,,,,,,,,188,52,,44,,,,588,414,,,,14,,43,84,72,132,6,,,,,2,,,,,,,,,
apples,Äpfel,,Fruit,Organics,,Thonne,,,,,,,,,,,,,-0.6156904977,,,1.153832192,,,,,,,-0.5381416945,,,,,,,,,,42.22222222,288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,288,,,,,,,48,,,,,,,,,
Atlantic herring,Strömlinge,,Fish,Fish,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.142857143,2,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurochs,Auern,,Meat,Meat,game,Stück (Piece),,,-0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.857142857,26,1,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacon,Speck,"Measured in ""sides""",Meat,Meat,pork,Stück (Piece),1.223356948,0.8651556457,1.820359119,1.541758106,-0.9258508664,,,-0.02039757417,-0.8661506493,1.820359119,-0.4084489851,,-0.1298479721,-0.6571998896,-0.8860507217,-0.4283490575,-0.4482491298,,,-0.9557009749,,,0.7855553563,,0.4671541986,-0.9258508664,-0.9457509387,,,,-0.9258508664,,21.8625,71,0.25,,275.87,,,231.87,365.87,476.75,,1,,,,,,,,,,,23.75,,,2.5,546,121.25,,,,19,,7.75,2,13.5,13,,,0.25,,,44,,36,1,0.5,,,,1,
barley groats,Gerstengrüz,,Grain,Grain,,Stof (Solids),-0.3988202152,-0.4538299,-0.5500968485,-0.3025532667,,,,2.814662208,-0.3575629515,-0.3758995131,-0.2888008455,,-0.3483946707,-0.5638492697,,,,,,,,,-0.3575629515,,1.182708224,,,,,,,,123.3333333,740,1,,2,,,149.5,"1,431.50",452,,,,,,,,,,,,,740,,,48,2842,453,,,,9,,3,,,,,,,,,48,,384,,,,,,,
beef,Kühe,,Meat,Meat,Beef,Stück (Piece),1.261141415,0.04504076483,-0.3603261186,1.174277083,,,,-0.9683764438,,1.290096193,-0.3603261186,-1.055240776,-1.026285999,,,,,,,,,,,,,,,,,,,,28.33333333,82,0,,5.25,,,2,14.5,6,,,,,,,,,,,,,3,,,,7,18,0,,,0,,,,,,,,,,,,,,,,,,,,
beer vinegar,Biereßig,,Acid,Flavorings,,Stof (Fluids),1.921610325,0.9670039053,1.403395411,-0.8058365878,-0.8058365878,,,-0.9967578716,,-0.6694642421,-0.2603472053,,0.2033187698,,,-0.6967387113,-0.2603472053,,,,,,,,,,,,,,,,27.45454545,89,0,,8438,,,4352,5518,10848,,7,,,,,,,,,,,0,,,,12053,1920,,,,63.5,,,,11,27,,,,,,,,,,,,,,,
big sheep cheese,Grose Schaaffkese,,Dairy,Dairy,,Stück (Piece),0.1243286565,0.7226603162,-0.8547595137,1.402582657,,,,-1.072334663,,0.7226603162,,,-1.045137769,,,,,,,,,,,,,,,,,,,,29.875,92,0,,22,,,4,10,8,,,,,,,,,,,,,0,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,
black grouse,Birikhüner,,Meat,Meat,"bird, fowl, wild",Stück (Piece),0.1269081549,1.478755892,-0.5628100783,-0.1765678677,,,,-1.114584665,,1.368400975,0.982158764,,,-1.114584665,-1.059407206,,,,,,,,0.07173069625,,,,,,,,,,33.27272727,95,0,,228,,,74,122,287,,,,,,,,,,,,,0,,,,853,69,,,,,,0,2,,,,,,,,43,,,,,,,,,
boar bacon,Schweinköpffe,,Meat,Meat,"pork, wild",Stück (Piece),1.136221638,,0.5434103484,-0.8002952403,,,,-0.8793367455,,,,,,,,,,,,,,,,,,,,,,,,,5.625,37,0,,25.12,,,,2,0.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandenburg hard cheese,,,Dairy,Dairy,,Stück (Piece),-0.6475842722,-0.6048354427,-0.6411316187,-0.601609116,,,,-0.6725883045,,-0.6524237623,-0.6419382004,,-0.6564566707,,-0.5693458485,3.489373202,2.376290473,0.5856791277,0.2953097203,-0.575798502,0.004940312835,0.004940312835,-0.6241934032,0.1017301153,,0.1017301153,-0.575798502,0.1017301153,0.1017301153,0.1017301153,,0.1985199178,832.875,5160,0,,17195,,,5635,21785,7493,,,,,,,,,,,,,0,,,,15700,2640,,,,1800,,,128,5160,3780,1560,1200,120,840,840,60,960,,960,120,960,960,960,,1080
brined/pickled castrated ram,Pökell Schöpsen,,Meat,Meat,,Stück (Piece),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,57,1,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled goose,Pökel Gänße,,Meat,Meat,preserved,Stück (Piece),0.1217662438,,0.9335412022,,,,,-1.055307446,,,,,,,,,,,,,,,,,,,,,,,,,13.125,99,0,,288,,,,7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled lamb,Pökel Lämmer,,Meat,Meat,other,Stück (Piece),0.7227940641,0.4184597213,,,,,,-1.141253785,,,,,,,,,,,,,,,,,,,,,,,,,11.125,83,0,,7,,,55.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brined/pickled sheep,Pökel Schaaffe,,Meat,Meat,other,Stück (Piece),-0.4462659072,0.3506374985,-0.4993928009,1.572556054,,,,-0.9775348444,,,,,,,,,,,,,,,,,,,,,,,,,11.125,49,0,,11,,,143,10.25,38,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckwheat groats,Buchgrutz/Buchweitzen Grütze,,Grain,Grain,,Stof (Solids),-0.0207061491,0.2539227759,0.5808619722,-0.661506974,,,,-0.7138172454,,-0.6353518383,-0.4914985919,,-0.7007396776,-0.6745845419,-0.6745845419,,,,,,,,1.313205772,,2.42479904,,,,,,,,50.75,240,0,,261.5,,,455.5,753,"1,470.50",,,,,,,,,,,,,0,,,,1061,144,,,,0,,3,3,,,,,,,,155,,240,,,,,,,
burpot,Quappen,,Fish,Fish,,Stück (Piece),0.9198530757,,,0.8100198726,,,,-0.8923947749,,,,,-0.8374781734,,,,,,,,,,,,,,,,,,,,4.875,32,0,,1798,,,,,240,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
bustard,Trappen,,Meat,Meat,"bird, wild",Stück (Piece),,,,0.6946287116,,,,-1.146137374,,0.4515086626,,,,,,,,,,,,,,,,,,,,,,,13.25,54,0,,,,,,,4,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
butter,Putter,,Dairy,Dairy,,Stof (Fluids),-0.3559539521,-0.4006221981,-0.3606558727,-0.3712351942,-0.2536871783,,,,0.3552115436,-0.4417640037,-0.3782880751,,-0.4464659243,-0.0497413709,-0.444114964,0.113062631,-0.1549468451,,-0.4229563211,,,,0.8465622497,,3.89340682,-0.3947447973,,,,,-0.3947447973,-0.3383217497,402.6578947,3720,1,,"8,619.50",,,"4,828.50",7978,"8,099.50",,192,,,,,,,,,,,,,,710,19020,9320,,,,340.5,,365.5,30,504,276,,48,,,,1128,,3720,72,,,,,72,120
calf trunk,calf trunk,,Meat,Meat,Beef,Stück (Piece),,,,,,,,,,,,,,0.7071067812,-0.7071067812,,,,,,,,,,,,,,,,,,2.888888889,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,,,,,,,,,,,,,,,,,
candied lemon peel,Citternat/Citronath/Zitternath/possibly Ciccat,,Fruit,Organics,,Pfund (lb),-0.4138462873,,-0.812734275,-0.812734275,,-0.4138462873,,-0.9124562719,,,-0.6132902811,,2.079203636,0.08476369739,,1.181705664,0.6332346805,,,,,,,,,,,,,,,,8.5,31,0,,1.5,,,,0,0,,,,,,,,,,173.75,,,0,,,,,100,,,,4,,10,,21,15.5,,,,,,,,,,,,,,,
capercaillie,Auerhünner,,Meat,Meat,"bird, fowl, wild",Stück (Piece),-0.3160472192,-0.1137769989,0.6953038822,1.049276768,,,,-1.428533431,,0.8975741025,0.6447363271,,,-1.428533431,,,,,,,,,,,,,,,,,,,46.11111111,99,0,,22,,,26,51,94,,,,,,,,,,,,,0,,,,86,8,,,,,,0,,,,,,,,,,,,,,,,,,
capon,Cappaunen,,Meat,Meat,"bird, fowl",Stück (Piece),1.146763278,0.798221929,1.146763278,0.9071411006,,,,-1.16232316,-0.9009171479,0.318977574,-0.3563212899,-0.9880524852,-1.140539325,-0.7266464733,-0.7919979763,,,,,,,,-0.007779940828,,1.756710639,,,,,,,,46.28571429,134,0,,842,,,609,858,871,,,,,,,,,,,,,0,,,12,515,250,8,,,0,,20,17,,,,,,,,53,,134,,,,,,,
caraway,Kümmell,,Spice,Flavorings,,Pfund (lb),,,,,,-0.5411673671,,-0.6127924598,,1.153959827,,,,,,,,,,,,,,,,,,,,,,,10.5,75,0,,,,,,,,,,,,,,,,,11,,,0,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,
carp,Frische Fische: Karpffen,,Fish,Fish,,Stück (Piece),-0.933318476,0,0.8296164231,2.074041058,,,,0.5530776154,-1.244424635,-0.7259143702,0.4148082115,,-0.2419714567,,-0.7259143702,,,,,,,,,,,,,,,,,,35.8,97,0,,10825,,,1809,3077,9142,,,,,,,,,,,,,52,,,0,12925,3598,,,,36,,,15,,,,,,,,,,,,,,,,,
chameleon loach,Schmerllen,,Fish,Fish,,Stück (Piece),,-0.7625563951,,-0.3901451324,,,,-0.8866934827,,2.030528075,-0.3280765886,,0.4788144806,,,,,,,,,,-0.1418709572,,,,,,,,,,250.7272727,1311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,360,,,,,,,,780,,,300,,,,,,
cherry sauce,Kirschmuß,,Fruit,Organics,,Pfund (lb),,,0.7071067812,,,-0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,11.88888889,48,0,,,,,0.875,,11,,,,,,,,,,,,,0,,,,31,111,,,,2,,,,,,,,,,,12,,,,,,,,,
