"date","apples","candied lemon peel","cherry sauce","cherry sauce or marmalade","citron","currant","dates","dried plums","figs","Berberis vulgaris","lemons","Plums","Pomagranates","raisins"
1640,,,,,,,,,,,,,,
1641,,1.5,,,990,434,,,,,2757,636,381,425.5
1642,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,
1644,,,0.875,,132,245.75,,,,,1702,345,65,214.75
1645,,0,,60.5,462,580,,,,,4112,1134,112,496.75
1646,,0,11,,447,663.25,0,,,,4778,2070,65,661.2
1647,,,,,,,,,,,,,,
1648,,,,,,30,,,,,24,,,24
1649,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,
1651,,,,,,,,,,,,,,
1652,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,
1656,,173.75,,200,,242.5,27,100,,20,7862,395,,264
1657,,,,,,,,24,,,700,,,
1658,,,,,,,,,,,,,,
1659,,0,0,,0,42,,0,,,87,10,0,49
1660,,,,,,,,,,,,,,
1661,,,,,,,,,,,,,,
1662,,,,,,,,,,,,,,
1663,,,31,,13140,1937,28,0,0,,,5740,846,859
1664,,100,111,,638,416,,150,46,,1697,551,,369.5
1665,,,,,,,,,,,,,,
1666,,,,,,,,,,,,,,
1667,,,,,,,,,,,,,,
1668,480,4,2,,30,6,0,6,0,,40,63,30,6
1669,,,,,,,,,,,,,,
1670,,10,,,127,12,,2,,,60,16,75,26
1671,,,,,18,24,,4,,,,,18,42
1672,288,21,,,,60,,,,,175,,,90
1673,,15.5,,,,36.5,,,,,140,,,61
1674,,,,,,10,,,,,,,,10
1675,,,,,,,,,,,,,,
1676,,,,,,,,,,,,,,
1677,,,,,,,,,,,,,,
1678,,,,,,,,,,,,,,
1679,48,,12,,250,20,,,,,50,55,,24
1680,,,,,,,,,,,,,,
1681,,,,,,,,,,,,,,
1682,,,,,,,,,,,,,,
1683,,,,,,,,,,,,,,
1684,,,,,,,,,,,,,,
1685,,,,,,,,,,,,,,
1686,,,,,,,,,,,,,,
1687,,,,,,,,,,,,,,
1688,,,,,,,,,,,,,,
