"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"4","aurochs",NA,"Meat","Meat","game","Stück (Piece)",NA,NA,-0.7071067812,0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.857142857",26,1,NA,"",NA,NA,"","0.5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","bacon",NA,"Meat","Meat","pork","Stück (Piece)",1.223356948,0.8651556457,1.820359119,1.541758106,-0.9258508664,NA,NA,-0.02039757417,-0.8661506493,1.820359119,-0.4084489851,NA,-0.1298479721,-0.6571998896,-0.8860507217,-0.4283490575,-0.4482491298,NA,NA,-0.9557009749,NA,NA,0.7855553563,NA,0.4671541986,-0.9258508664,-0.9457509387,NA,NA,NA,-0.9258508664,NA,"21.8625",71,0.25,NA,"275.87",NA,NA,"231.87","365.87","476.75",NA,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,23.75,NA,NA,2.5,"546","121.25",NA,NA,NA,"19",NA,7.75,2,13.5,13,NA,NA,0.25,NA,NA,44,NA,36,1,0.5,NA,NA,NA,1,NA
"7","beef",NA,"Meat","Meat","Beef","Stück (Piece)",1.261141415,0.04504076483,-0.3603261186,1.174277083,NA,NA,NA,-0.9683764438,NA,1.290096193,-0.3603261186,-1.055240776,-1.026285999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.33333333",82,0,NA,"5.25",NA,NA,"2","14.5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,NA,NA,NA,"7","18",0,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","black grouse",NA,"Meat","Meat","bird, fowl, wild","Stück (Piece)",0.1269081549,1.478755892,-0.5628100783,-0.1765678677,NA,NA,NA,-1.114584665,NA,1.368400975,0.982158764,NA,NA,-1.114584665,-1.059407206,NA,NA,NA,NA,NA,NA,NA,0.07173069625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.27272727",95,0,NA,"228",NA,NA,"74","122","287",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"853","69",NA,NA,NA,"",NA,0,2,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","boar bacon",NA,"Meat","Meat","pork, wild","Stück (Piece)",1.136221638,NA,0.5434103484,-0.8002952403,NA,NA,NA,-0.8793367455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.625",37,0,NA,"25.12",NA,NA,"","2","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","brined/pickled castrated ram (wether)",NA,"Meat","Meat","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",57,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","40",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","brined/pickled goose",NA,"Meat","Meat","preserved","Stück (Piece)",0.1217662438,NA,0.9335412022,NA,NA,NA,NA,-1.055307446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.125",99,0,NA,"288",NA,NA,"","7","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","brined/pickled lamb",NA,"Meat","Meat","other","Stück (Piece)",0.7227940641,0.4184597213,NA,NA,NA,NA,NA,-1.141253785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.125",83,0,NA,"7",NA,NA,"55.5","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","brined/pickled sheep",NA,"Meat","Meat","other","Stück (Piece)",-0.4462659072,0.3506374985,-0.4993928009,1.572556054,NA,NA,NA,-0.9775348444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.125",49,0,NA,"11",NA,NA,"143","10.25","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","bustard",NA,"Meat","Meat","bird, wild","Stück (Piece)",NA,NA,NA,0.6946287116,NA,NA,NA,-1.146137374,NA,0.4515086626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.25",54,0,NA,"",NA,NA,"","","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"3","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
