"","translation","original","notes","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"4","aurochs","Auern","","Meat","Meat","game","Stück (Piece)",,,-0.7071067812,0.7071067812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.857142857",26,1,,"",,,"","0.5","2",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"5","bacon","Speck","Measured in ""sides""","Meat","Meat","pork","Stück (Piece)",1.223356948,0.8651556457,1.820359119,1.541758106,-0.9258508664,,,-0.02039757417,-0.8661506493,1.820359119,-0.4084489851,,-0.1298479721,-0.6571998896,-0.8860507217,-0.4283490575,-0.4482491298,,,-0.9557009749,,,0.7855553563,,0.4671541986,-0.9258508664,-0.9457509387,,,,-0.9258508664,,"21.8625",71,0.25,,"275.87",,,"231.87","365.87","476.75",,1,,,,,,,,"",,,23.75,,,2.5,"546","121.25",,,,"19",,7.75,2,13.5,13,,,0.25,,,44,,36,1,0.5,,,,1,
"7","beef","Kühe","","Meat","Meat","Beef","Stück (Piece)",1.261141415,0.04504076483,-0.3603261186,1.174277083,,,,-0.9683764438,,1.290096193,-0.3603261186,-1.055240776,-1.026285999,,,,,,,,,,,,,,,,,,,,"28.33333333",82,0,,"5.25",,,"2","14.5","6",,,,,,,,,,"",,,3,,,,"7","18",0,,,"0",,,,,,,,,,,,,,,,,,,,
"10","black grouse","Birikhüner","","Meat","Meat","bird, fowl, wild","Stück (Piece)",0.1269081549,1.478755892,-0.5628100783,-0.1765678677,,,,-1.114584665,,1.368400975,0.982158764,,,-1.114584665,-1.059407206,,,,,,,,0.07173069625,,,,,,,,,,"33.27272727",95,0,,"228",,,"74","122","287",,,,,,,,,,"",,,0,,,,"853","69",,,,"",,0,2,,,,,,,,43,,,,,,,,,
"11","boar bacon","Schweinköpffe","","Meat","Meat","pork, wild","Stück (Piece)",1.136221638,,0.5434103484,-0.8002952403,,,,-0.8793367455,,,,,,,,,,,,,,,,,,,,,,,,,"5.625",37,0,,"25.12",,,"","2","0.5",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"13","brined/pickled castrated ram","Pökell Schöpsen","","Meat","Meat","","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",57,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","40",,,,"",,,,,,,,,,,,,,,,,,,,
"14","brined/pickled goose","Pökel Gänße","","Meat","Meat","preserved","Stück (Piece)",0.1217662438,,0.9335412022,,,,,-1.055307446,,,,,,,,,,,,,,,,,,,,,,,,,"13.125",99,0,,"288",,,"","7","",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"15","brined/pickled lamb","Pökel Lämmer","","Meat","Meat","other","Stück (Piece)",0.7227940641,0.4184597213,,,,,,-1.141253785,,,,,,,,,,,,,,,,,,,,,,,,,"11.125",83,0,,"7",,,"55.5","","",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"16","brined/pickled sheep","Pökel Schaaffe","","Meat","Meat","other","Stück (Piece)",-0.4462659072,0.3506374985,-0.4993928009,1.572556054,,,,-0.9775348444,,,,,,,,,,,,,,,,,,,,,,,,,"11.125",49,0,,"11",,,"143","10.25","38",,,,,,,,,,"",,,0,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"19","bustard","Trappen","","Meat","Meat","bird, wild","Stück (Piece)",,,,0.6946287116,,,,-1.146137374,,0.4515086626,,,,,,,,,,,,,,,,,,,,,,,"13.25",54,0,,"",,,"","","4",,,,,,,,,,"",,,0,,,,"3","",,,,"",,,,,,,,,,,,,,,,,,,,
"21","calf trunk","calf trunk","","Meat","Meat","Beef","Stück (Piece)",,,,,,,,,,,,,,0.7071067812,-0.7071067812,,,,,,,,,,,,,,,,,,"2.888888889",15,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,15,4,,,,,,,,,,,,,,,,,
"23","capercaillie","Auerhünner","","Meat","Meat","bird, fowl, wild","Stück (Piece)",-0.3160472192,-0.1137769989,0.6953038822,1.049276768,,,,-1.428533431,,0.8975741025,0.6447363271,,,-1.428533431,,,,,,,,,,,,,,,,,,,"46.11111111",99,0,,"22",,,"26","51","94",,,,,,,,,,"",,,0,,,,"86","8",,,,"",,0,,,,,,,,,,,,,,,,,,
"24","capon","Cappaunen","","Meat","Meat","bird, fowl","Stück (Piece)",1.146763278,0.798221929,1.146763278,0.9071411006,,,,-1.16232316,-0.9009171479,0.318977574,-0.3563212899,-0.9880524852,-1.140539325,-0.7266464733,-0.7919979763,,,,,,,,-0.007779940828,,1.756710639,,,,,,,,"46.28571429",134,0,,"842",,,"609","858","871",,,,,,,,,,"",,,0,,,12,"515","250",8,,,"0",,20,17,,,,,,,,53,,134,,,,,,,
"38","coot","Wasserhünner/Wasserhüner","","Meat","Meat","Bird, wild","Stück (Piece)",-0.3061199434,-0.1603485418,-0.4616094384,-0.4421732516,,,,-0.5490722794,,-0.330415177,,2.249738632,,,,,,,,,,,,,,,,,,,,,"18.125",83,0,,"",,,"","","",,,,,,,,,,"",,,0,,,,"43","8",,,,"",,,,,,,,,,,,,,,,,,,,
"41","cow trunk","Ochßenrümpffe","","Meat","Meat","Beef","Stück (Piece)",,,,,,,,,,,,,,1.154532452,-0.5943282817,,,,,,,,,,,-0.5602041698,,,,,,,"23.19230769",75,0.75,,"164",,,"125","289","542.125",,7,,,,,,,,"",,,19,,,10,"494","10.25",21.5,,,"0.75",,18.25,,0.75,,,,,,,,,,,,,,,,
"42","crabs","Kleinsalz","","Seafood","Meat","","Stück (Piece)",-0.6016126619,,-0.6600216582,,,,,,,-0.2024845205,-0.290098015,,,1.754216856,,,,,,,,,,,,,,,,,,,"386.2",3315,1,,"",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,3315,240,,,,,,,,,,,300,,,,,,
"44","curlew","Brachvogel","","Meat","Meat","Bird, wild","Stück (Piece)",1.24557906,0.2676955979,1.871424476,1.675847784,-0.4754958336,-1.257802604,,-0.006111771641,,-0.3190344796,0.6197336444,,-0.08434244864,-1.179571927,-0.7101878646,0.6979643214,-0.2212461334,-1.257802604,,,,,-0.8666492186,,,,,,,,,,"4.625",17,0,,"12",,,"","","",,,,,,,,,,"",,,0,,,,"11","13",,,,"1",,,,,,,,,,,,,,,,,,,,
"47","Deer","Hirsch","","Meat","Meat","venison, wild","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.22222222",72,0,,"31.5",,,"17.25","37.75","",,,,,,,,,,"",,,0,,,,"44","12",,,,"",,,,,,,,,,,4,,,,,,,,,
"48","deer tongue","Hirschzungen","","Meat","Meat","other","Stück (Piece)",-0.6746075253,0.8914456584,,0.7709800289,,,,-1.156470043,,,0.1686518813,-0.8352283646,0.3292727207,1.975636324,-0.754917945,,,,,,,,,,,-0.7147627351,,,,,,,"1",1,1,,"41",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
"49","doves","Wilde und Zahme Tauben","","Meat","Meat","Bird, wild","Stück (Piece)",0.9861231457,0.8414090572,1.333436958,1.015065963,,,,-1.358245087,,-0.7504459159,-0.7793887336,,0.0888957972,-1.06881691,0.4940952449,0.957180328,0.6098665157,,,,,,-1.126702546,,-1.242473817,,,,,,,,"25.08333333",80,1,,"121",,,"263","","385",,,,,,,,,,"",,,2,,,,"","243",10,,,"50",,80,12,,,,,,,,,,,13,,,,,,
"50","dried beef","Treügrindtfleisch","","Meat","Meat","Beef","Stück (Piece)",1.378653598,-0.4929264262,-0.9319390246,-0.0770197541,,,,,,1.055170631,,,-0.9319390246,,,,,,,,,,,,,,,,,,,,"41.64285714",94,0,,"506",,,"482","611","643",,,,,,,,,,"",,,0,,,,"142","152",,,,"9",,10,64,80,68,,,,,,8,,4,,,,,,,
"54","dried geese","Treüge Gänße","","Meat","Meat","Bird, fowl","Stück (Piece)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.44444444",79,0,,"297",,,"108","128","60",,,,,,,,,,"",,,0,,,,"117","44",,,,"15",,10,,,,,,,,,,,,,,,,,,
"55","dried lamb","Treüge Lämmer","","Meat","Meat","other","Stück (Piece)",-0.3977834013,-0.3977834013,2.040801798,-0.3977834013,,,,-0.4496681928,,,,,-0.3977834013,,,,,,,,,,,,,,,,,,,,"1",1,1,,"2",,,"","","",,,,,,,,,,"",,,,,,,"","",,,,"",,,,,,,,,,,,,,,,,,,,
