"date","bacon","black grouse","boar bacon","brined/pickled castrated ram (wether)","brined/pickled goose","brined/pickled lamb","brined/pickled sheep","bustard","capercaillie","capon (castrated rooster)","coot","curlew","Deer","deer tongue","dried beef","dried geese","dried lamb","dried mutton","dried sheep","fieldfare","finch","geese","gray partridge","ham","hazel grouse","hens","lamb","lark","Moose & Calves","mutton","oxen","pig","pig head","quail","rabbits","roe deer","sandpipers?","sheep","small birds","snow bunting","Starling: Platdeutsch word: http://www.welt.de/weltäprint/article1243926/Auf-ein-Platt-Wort.html","suckling pig","swans","thrush","type of sparrow & skylarks","waxwing","westphalian ham","wild and domestic doves","wild and domestic ducks","wild boar","wild geese","wild turkey (Gallina Meleagris Linn)","yellow hammer","young boar"
1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1
1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,1,1,,,,1,1,,1,1,,,1,,1,1,,,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,1,1,1,1,1,,1
1645,1,1,1,,1,,1,,1,1,,,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,,1,1,1,1,1,1
1646,1,1,1,,,,1,1,1,1,,,,,1,1,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,,1,,1,1,1,1,1,1,1
1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
