"date","aurochs","bacon","beef","black grouse","boar bacon","brined/pickled castrated ram","brined/pickled goose","brined/pickled lamb","brined/pickled sheep","bustard","calf trunk","capercaillie","capon","coot","cow trunk","crabs","curlew","Deer","deer tongue","doves","dried beef","dried geese","dried lamb","dried mutton","dried sheep","ducks","eggs","fattened pig","fieldfare","finch","geese","gray partridge","ham","hazel grouse","hen","lamb","lark","Moose","mutton","oxen","pig","pig's head","quail","rabbit","roe deer","sandpipers","sheep","small birds","snails","snow bunting","sparrows and skylarks","starling","suckling pig","swans","thrush","veal","waxwing","westphalian ham","wild boar","wild geese","wild turkey","yellow hammer","young boar"
"1640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1641","","275.87","5.25","228","25.12","","288","7","11","","","22","842","","164","","12","31.5","41","121","506","297","2","","8","742","104832","","729","","1165","52","","595","5596","463.5","2679","15.75","737.25","1","59.75","190.5","3","87","67","167","1,268.50","649","","","","107","432","","1680","977.85","343","3","41","20","196","2092","13"
"1642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1644","","231.87","2","74","","","","55.5","143","","","26","609","","125","","","17.25","","263","482","108","","","148.25","304","74731","","3","","580","58","","177","3253","140","1232","","194.12","1","26","142.5","649","87","62.75","125","1,164.75","50","","","","24","227","","116","523.13","","","31.37","12","133","","20.25"
"1645","0.5","365.87","14.5","122","2","","7","","10.25","","","51","858","","289","","","37.75","","","611","128","","","","982","117328","","197","","882","123","","485","6603","485.75","3229","10.75","860.75","1","53","145.5","1","249","80.75","256","1,172.25","296","","","","19","160","","345","685.85","580","","30.75","41","168","2685","18.37"
"1646","     2.000","   476.750","     6.000","   287.000","     0.500",,,,"    38.000","     4.000",,"    94.000","   871.000",,"   542.125",,,,,"   385.000","   643.000","    60.000",,,"    35.250","   490.000","115500.000",,"  3180.000",,"  2876.000","   516.000",,"  1057.000","  5619.000","   366.500","    60.000","    54.250","   931.250","     5.000","    60.250","   115.000",,"   457.000","   127.750","    25.000","  1381.000","   391.000",,,,,"   170.000",,"  2351.000","   779.750","   186.000",,"    86.250","    25.000","   358.000","  4453.000","    74.250"
"1647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1648",,"   1",,,,,,,,,,,,,"   7",,,,,,,,,,,,"2085",,,,,,,,,,,,,"   1","   1",,,,,,,,,,,,,,,,,,,,,,
"1649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
