"date","almonds","chestnuts","pinenuts","pistachios","poppy seeds"
1640,,,,,
1641,491,0,,,
1642,,,,,
1643,,,,,
1644,250.5,0,,,
1645,571.5,0,,,
1646,636.75,0,,,
1647,,,,,
1648,27,,,,
1649,,,,,
1650,,,,,
1651,,,,,
1652,,,,,
1653,,,,,
1654,,,,,
1655,,,,,
1656,188,,21,12,
1657,52,,,,
1658,,,,,
1659,44,,0,0,
1660,,,,,
1661,,,,,
1662,,,,,
1663,588,,,64,
1664,414,,18,11,
1665,,,,,
1666,,,,,
1667,,,,,
1668,14,,0,0,
1669,,,,,
1670,43,4,,,
1671,84,2,,,48
1672,72,,,,92
1673,132,,,,42
1674,6,,,,
1675,,,,,
1676,,,,,
1677,,,,,
1678,,,,,
1679,2,166,,,
1680,,,,,
1681,,,,,
1682,,,,,
1683,,,,,
1684,,,,,
1685,,,,,
1686,,,,,
1687,,,,,
1688,,,,,
