"","translation","german","category","macrocategory","subcategory","unit.of.measure","z1641","z1644","z1645","z1646","z1648","z1656","z1657","z1659","z1662","z1663","z1664","z1665","z1668","z1670","z1671","z1672","z1673","z1674","z1675","z1676","z1677","z1678","z1679","z1680","z1681","z1682","z1683","z1684","z1685","z1686","z1687","z1688","mean","max","min","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688"
"2","apples",NA,"Fruit","Organics","","Thonne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6156904977,NA,NA,1.153832192,NA,NA,NA,NA,NA,NA,-0.5381416945,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.22222222",288,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"480",NA,NA,NA,288,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","candied lemon peel",NA,"Fruit","Organics","","Pfund (lb)",-0.4138462873,NA,-0.812734275,-0.812734275,NA,-0.4138462873,NA,-0.9124562719,NA,NA,-0.6132902811,NA,2.079203636,0.08476369739,NA,1.181705664,0.6332346805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5",31,0,NA,"1.5",NA,NA,"","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"173.75",NA,NA,0,NA,NA,NA,"","100",NA,NA,NA,"4",NA,10,NA,21,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","cherry sauce",NA,"Fruit","Organics","","Pfund (lb)",NA,NA,0.7071067812,NA,NA,-0.7071067812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.88888889",48,0,NA,"",NA,NA,"0.875","","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"31","111",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","cherry sauce or marmalade",NA,"Fruit","Organics","","Pfund (lb)",-0.3886361873,-0.3886361873,-0.3886361873,-0.3886361873,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3403441167,-0.3725388304,NA,NA,NA,NA,NA,NA,NA,2.267427696,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.28571429",93,1,NA,"",NA,NA,"","60.5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"200",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","citrons",NA,"Fruit","Organics","Citrus","Stück (Piece)",0.3047534982,-0.3114379674,0.9209449638,0.356102787,-0.6580456668,0.2534042094,-0.1060408122,-0.6452083446,NA,3.23166296,0.9209449638,NA,-0.5168351226,-0.6532188337,-0.6516270057,-0.6419990141,-0.6516270057,-0.5681844114,NA,NA,NA,NA,-0.583589198,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.18181818",250,0,NA,"990",NA,NA,"132","462","447",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"13140","638",NA,NA,NA,"30",NA,127,18,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","currants",NA,"Fruit","Organics","preserved","Pfund (lb)",NA,NA,NA,-0.6710189489,NA,-0.1032336845,NA,NA,NA,1.445271582,NA,NA,-0.6710189489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.5",91,10,NA,"434",NA,NA,"245.75","580","663.25",NA,30,NA,NA,NA,NA,NA,NA,NA,"242.5",NA,NA,42,NA,NA,NA,"1937","416",NA,NA,NA,"6",NA,12,24,60,36.5,10,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","dates",NA,"Fruit","Organics","","Pfund (lb)",0.9731762801,-0.06711560552,1.241638702,NA,NA,NA,NA,-1.140965294,NA,0.7718294635,-0.7718294635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.006734083,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",43,1,NA,"",NA,NA,"","","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,"28","",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","dried plums",NA,"Fruit","Organics","","Pfund (lb)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",41,0,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100",24,NA,0,NA,NA,NA,"0","150",NA,NA,NA,"6",NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","figs",NA,"Fruit","Organics","","Irregular!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.42857143",65,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"0","46",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","lemons",NA,"Fruit","Organics","Citrus","Stück (Piece)",0.9226260118,0.6459628084,1.718032721,1.026374713,-0.8670390851,-0.1840268017,-0.5644387064,-0.8445601998,NA,1.960113024,0.9572089122,NA,0.1963851029,-0.8302947534,-0.8411019097,-0.819487597,-0.8367790472,-0.8065190093,NA,NA,NA,NA,-0.8324561846,NA,NA,NA,NA,NA,NA,NA,NA,NA,"106.4285714",700,1,NA,"2757",NA,NA,"1702","4112","4778",NA,24,NA,NA,NA,NA,NA,NA,NA,"7862",700,NA,87,NA,NA,NA,"","1697",NA,NA,NA,"40",NA,60,NA,175,140,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Plums",NA,"Fruit","Organics","","Pfund (lb)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.463966976,1.147707783,-0.6837408067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.9",73,10,NA,"636",NA,NA,"345","1134","2070",NA,NA,NA,NA,NA,NA,NA,NA,NA,"395",NA,NA,10,NA,NA,NA,"5740","551",NA,NA,NA,"63",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Pomagranates",NA,"Fruit","Organics","","Stück (Piece)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.6",94,0,NA,"381",NA,NA,"65","112","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,NA,"846","",NA,NA,NA,"30",NA,75,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","preserved barberries",NA,"Fruit","Organics","","Stof (Fluids)",0.7125598795,1.57318415,-0.8698782945,NA,NA,NA,NA,-0.9809265874,NA,0.1017942685,-0.5367334157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",8,1,NA,"",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","raisins",NA,"Fruit","Organics","preserved","Pfund (lb)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5053929359,0.6464328249,NA,-1.151825761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.13333333",92,10,NA,"425.5",NA,NA,"214.75","496.75","661.2",NA,24,NA,NA,NA,NA,NA,NA,NA,"264",NA,NA,49,NA,NA,NA,"859","369.5",NA,NA,NA,"6",NA,26,42,90,61,10,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","spicy sauerkraut",NA,"Vegetable","Organics","","Stof (Fluids)",2.332903658,1.130671098,0.3578073095,-0.07156146191,NA,NA,NA,-0.8014883734,-0.7156146191,0.9589235896,-0.6297408648,NA,-0.7585514962,-0.6297408648,-0.6726777419,NA,NA,NA,NA,NA,NA,NA,-0.5009302334,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.36363636",192,0,NA,"528",NA,NA,"41555","240","240",NA,72,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,48,NA,NA,192,"","",NA,NA,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
