unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1640,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,60,1641,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1642,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1643,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,168,1644,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,328,1645,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1646,,667 pieces
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1647,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1648,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1649,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1650,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1651,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1652,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1653,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1654,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1655,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1656,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1657,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1658,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,4,1659,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1660,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1661,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,18,1662,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,476,1663,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,275,1664,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1665,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1666,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1667,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,46,1668,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1669,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,11,1670,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,4,1671,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1672,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1673,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1674,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1675,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1676,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1677,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1678,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1679,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1680,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1681,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1682,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1683,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1684,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1685,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1686,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1687,,
Stof (Fluids),Meat,,cow tongue,Rindtzung,Beef,,1688,,
