unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1640,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",121,1641,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1642,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1643,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",263,1644,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1645,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",385,1646,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1647,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1648,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1649,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1650,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1651,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1652,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1653,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1654,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1655,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1656,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1657,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1658,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",2,1659,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1660,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1661,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1662,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1663,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",243,1664,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",10,1665,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1666,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1667,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",50,1668,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1669,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",80,1670,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",12,1671,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1672,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1673,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1674,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1675,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1676,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1677,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1678,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1679,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1680,,
Stück (Piece),Meat,,wild and domestic doves,Wilde und Zahme Tauben,"Bird, wild",,1681,,
