unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1640,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1641,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1642,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1643,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1644,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",0.62,1645,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1646,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1647,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1648,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1649,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1650,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1651,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1652,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1653,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1654,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1655,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1656,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1657,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1658,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1659,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1660,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1661,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1662,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1663,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1664,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1665,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1666,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1667,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1668,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1669,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1670,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1671,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1672,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1673,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1674,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1675,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1676,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1677,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1678,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1679,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1680,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1681,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1682,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1683,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1684,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1685,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1686,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1687,,
Thonne,Meat,preserved (brined/pickled),pickled wild cow,Pökel Auer Wildpret,"beef, wild",,1688,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1640,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",28.87,1641,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1642,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1643,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1644,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",1,1645,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1646,,69.4 tons
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1647,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1648,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1649,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1650,,
Thonne,Meat,preserved (brined/pickled),Moose and pickeled game (probably also moose),Elend und Pökel wildpret,"venison, wild",,1651,,
