unit,category,use,translation,item,subcategory,value,date,source
Pfund (lb),Nuts,,chestnuts,Castanien,,,1640,
Pfund (lb),Nuts,,chestnuts,Castanien,,0,1641,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1642,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1643,
Pfund (lb),Nuts,,chestnuts,Castanien,,0,1644,
Pfund (lb),Nuts,,chestnuts,Castanien,,0,1645,
Pfund (lb),Nuts,,chestnuts,Castanien,,0,1646,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1647,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1648,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1649,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1650,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1651,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1652,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1653,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1654,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1655,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1656,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1657,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1658,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1659,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1660,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1661,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1662,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1663,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1664,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1665,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1666,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1667,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1668,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1669,
Pfund (lb),Nuts,,chestnuts,Castanien,,4,1670,
Pfund (lb),Nuts,,chestnuts,Castanien,,2,1671,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1672,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1673,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1674,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1675,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1676,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1677,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1678,
Pfund (lb),Nuts,,chestnuts,Castanien,,166,1679,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1680,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1681,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1682,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1683,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1684,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1685,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1686,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1687,
Pfund (lb),Nuts,,chestnuts,Castanien,,,1688,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1640,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1641,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1642,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1643,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1644,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1645,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1646,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1647,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1648,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1649,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1650,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1651,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1652,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1653,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1654,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1655,
Pfund (lb),Nuts,,pistachios,Pistatien,,12,1656,- Rentspeicher Records!
Pfund (lb),Nuts,,pistachios,Pistatien,,,1657,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1658,
Pfund (lb),Nuts,,pistachios,Pistatien,,0,1659,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1660,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1661,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1662,
Pfund (lb),Nuts,,pistachios,Pistatien,,64,1663,
Pfund (lb),Nuts,,pistachios,Pistatien,,11,1664,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1665,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1666,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1667,
Pfund (lb),Nuts,,pistachios,Pistatien,,0,1668,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1669,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1670,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1671,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1672,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1673,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1674,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1675,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1676,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1677,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1678,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1679,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1680,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1681,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1682,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1683,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1684,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1685,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1686,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1687,
Pfund (lb),Nuts,,pistachios,Pistatien,,,1688,
