unit,category,use,translation,item,subcategory,value,date,source
Pfund (lb),Spice,,carraway,Kümmell,,,1640.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1641.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1642.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1643.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1644.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1645.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1646.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1647.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1648.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1649.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1650.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1651.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1652.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1653.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1654.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1655.0,
Pfund (lb),Spice,,carraway,Kümmell,,11.0,1656.0,- Rentspeicher Records!
Pfund (lb),Spice,,carraway,Kümmell,,,1657.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1658.0,
Pfund (lb),Spice,,carraway,Kümmell,,0.0,1659.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1660.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1661.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1662.0,
Pfund (lb),Spice,,carraway,Kümmell,,590.0,1663.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1664.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1665.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1666.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1667.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1668.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1669.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1670.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1671.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1672.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1673.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1674.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1675.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1676.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1677.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1678.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1679.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1680.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1681.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1682.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1683.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1684.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1685.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1686.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1687.0,
Pfund (lb),Spice,,carraway,Kümmell,,,1688.0,
Pfund (lb),Spice,,safron,Saffran,,,1640.0,
Pfund (lb),Spice,,safron,Saffran,,7.9,1641.0,
Pfund (lb),Spice,,safron,Saffran,,,1642.0,
Pfund (lb),Spice,,safron,Saffran,,,1643.0,
Pfund (lb),Spice,,safron,Saffran,,3.3,1644.0,
Pfund (lb),Spice,,safron,Saffran,,8.7,1645.0,
Pfund (lb),Spice,,safron,Saffran,,15.7,1646.0,
Pfund (lb),Spice,,safron,Saffran,,,1647.0,
Pfund (lb),Spice,,safron,Saffran,,0.625,1648.0,
Pfund (lb),Spice,,safron,Saffran,,,1649.0,
Pfund (lb),Spice,,safron,Saffran,,,1650.0,
Pfund (lb),Spice,,safron,Saffran,,,1651.0,
Pfund (lb),Spice,,safron,Saffran,,,1652.0,
Pfund (lb),Spice,,safron,Saffran,,,1653.0,
Pfund (lb),Spice,,safron,Saffran,,,1654.0,
Pfund (lb),Spice,,safron,Saffran,,,1655.0,
Pfund (lb),Spice,,safron,Saffran,,9.06,1656.0,- Rentspeicher Records!
Pfund (lb),Spice,,safron,Saffran,,1.5,1657.0,: Außgabe
Pfund (lb),Spice,,safron,Saffran,,,1658.0,
Pfund (lb),Spice,,safron,Saffran,,0.4,1659.0,
Pfund (lb),Spice,,safron,Saffran,,,1660.0,
Pfund (lb),Spice,,safron,Saffran,,,1661.0,
Pfund (lb),Spice,,safron,Saffran,,,1662.0,
Pfund (lb),Spice,,safron,Saffran,,8.625,1663.0,
Pfund (lb),Spice,,safron,Saffran,,5.375,1664.0,
Pfund (lb),Spice,,safron,Saffran,,,1665.0,
Pfund (lb),Spice,,safron,Saffran,,,1666.0,
Pfund (lb),Spice,,safron,Saffran,,,1667.0,
Pfund (lb),Spice,,safron,Saffran,,0.03125,1668.0,
Pfund (lb),Spice,,safron,Saffran,,,1669.0,
Pfund (lb),Spice,,safron,Saffran,,0.0625,1670.0,
Pfund (lb),Spice,,safron,Saffran,,0.03125,1671.0,
Pfund (lb),Spice,,safron,Saffran,,0.4375,1672.0,
Pfund (lb),Spice,,safron,Saffran,,0.1875,1673.0,
Pfund (lb),Spice,,safron,Saffran,,0.5,1674.0,
Pfund (lb),Spice,,safron,Saffran,,,1675.0,
Pfund (lb),Spice,,safron,Saffran,,,1676.0,
Pfund (lb),Spice,,safron,Saffran,,,1677.0,
Pfund (lb),Spice,,safron,Saffran,,,1678.0,
Pfund (lb),Spice,,safron,Saffran,,0.325,1679.0,
Pfund (lb),Spice,,safron,Saffran,,,1680.0,
Pfund (lb),Spice,,safron,Saffran,,,1681.0,
Pfund (lb),Spice,,safron,Saffran,,,1682.0,
Pfund (lb),Spice,,safron,Saffran,,,1683.0,
Pfund (lb),Spice,,safron,Saffran,,,1684.0,
Pfund (lb),Spice,,safron,Saffran,,,1685.0,
Pfund (lb),Spice,,safron,Saffran,,,1686.0,
Pfund (lb),Spice,,safron,Saffran,,,1687.0,
Pfund (lb),Spice,,safron,Saffran,,,1688.0,
Pfund (lb),Spice,,cloves,Negelein,,,1640.0,
Pfund (lb),Spice,,cloves,Negelein,,13.0,1641.0,
Pfund (lb),Spice,,cloves,Negelein,,,1642.0,
Pfund (lb),Spice,,cloves,Negelein,,,1643.0,
Pfund (lb),Spice,,cloves,Negelein,,10.484,1644.0,
Pfund (lb),Spice,,cloves,Negelein,,17.328,1645.0,
Pfund (lb),Spice,,cloves,Negelein,,18.2,1646.0,
Pfund (lb),Spice,,cloves,Negelein,,,1647.0,
Pfund (lb),Spice,,cloves,Negelein,,0.25,1648.0,
Pfund (lb),Spice,,cloves,Negelein,,,1649.0,
Pfund (lb),Spice,,cloves,Negelein,,,1650.0,
Pfund (lb),Spice,,cloves,Negelein,,,1651.0,
Pfund (lb),Spice,,cloves,Negelein,,,1652.0,
Pfund (lb),Spice,,cloves,Negelein,,,1653.0,
Pfund (lb),Spice,,cloves,Negelein,,,1654.0,
Pfund (lb),Spice,,cloves,Negelein,,,1655.0,
Pfund (lb),Spice,,cloves,Negelein,,52.125,1656.0,- Rentspeicher Records!
Pfund (lb),Spice,,cloves,Negelein,,11.0,1657.0,: Außgabe
Pfund (lb),Spice,,cloves,Negelein,,,1658.0,
Pfund (lb),Spice,,cloves,Negelein,,0.5,1659.0,
Pfund (lb),Spice,,cloves,Negelein,,,1660.0,
Pfund (lb),Spice,,cloves,Negelein,,,1661.0,
Pfund (lb),Spice,,cloves,Negelein,,,1662.0,
Pfund (lb),Spice,,cloves,Negelein,,60.7,1663.0,
Pfund (lb),Spice,,cloves,Negelein,,20.5625,1664.0,
Pfund (lb),Spice,,cloves,Negelein,,,1665.0,
Pfund (lb),Spice,,cloves,Negelein,,,1666.0,
Pfund (lb),Spice,,cloves,Negelein,,,1667.0,
Pfund (lb),Spice,,cloves,Negelein,,0.375,1668.0,
Pfund (lb),Spice,,cloves,Negelein,,,1669.0,
Pfund (lb),Spice,,cloves,Negelein,,0.344,1670.0,
Pfund (lb),Spice,,cloves,Negelein,,0.375,1671.0,
Pfund (lb),Spice,,cloves,Negelein,,0.5625,1672.0,
Pfund (lb),Spice,,cloves,Negelein,,0.375,1673.0,
Pfund (lb),Spice,,cloves,Negelein,,2.0,1674.0,
Pfund (lb),Spice,,cloves,Negelein,,,1675.0,
Pfund (lb),Spice,,cloves,Negelein,,,1676.0,
Pfund (lb),Spice,,cloves,Negelein,,,1677.0,
Pfund (lb),Spice,,cloves,Negelein,,,1678.0,
Pfund (lb),Spice,,cloves,Negelein,,1.7,1679.0,
Pfund (lb),Spice,,cloves,Negelein,,,1680.0,
Pfund (lb),Spice,,cloves,Negelein,,,1681.0,
Pfund (lb),Spice,,cloves,Negelein,,,1682.0,
Pfund (lb),Spice,,cloves,Negelein,,,1683.0,
Pfund (lb),Spice,,cloves,Negelein,,,1684.0,
Pfund (lb),Spice,,cloves,Negelein,,,1685.0,
Pfund (lb),Spice,,cloves,Negelein,,,1686.0,
Pfund (lb),Spice,,cloves,Negelein,,,1687.0,
Pfund (lb),Spice,,cloves,Negelein,,,1688.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1640.0,
Pfund (lb),Spice,,pepper,Pfeffer,,217.59,1641.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1642.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1643.0,
Pfund (lb),Spice,,pepper,Pfeffer,,134.25,1644.0,
Pfund (lb),Spice,,pepper,Pfeffer,,247.8125,1645.0,
Pfund (lb),Spice,,pepper,Pfeffer,,344.3,1646.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1647.0,
Pfund (lb),Spice,,pepper,Pfeffer,,4.25,1648.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1649.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1650.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1651.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1652.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1653.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1654.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1655.0,
Pfund (lb),Spice,,pepper,Pfeffer,,95.25,1656.0,- Rentspeicher Records!
Pfund (lb),Spice,,pepper,Pfeffer,,35.5,1657.0,: Außgabe
Pfund (lb),Spice,,pepper,Pfeffer,,,1658.0,
Pfund (lb),Spice,,pepper,Pfeffer,,5.75,1659.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1660.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1661.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1662.0,
Pfund (lb),Spice,,pepper,Pfeffer,,350.875,1663.0,
Pfund (lb),Spice,,pepper,Pfeffer,,120.5,1664.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1665.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1666.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1667.0,
Pfund (lb),Spice,,pepper,Pfeffer,,1.625,1668.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1669.0,
Pfund (lb),Spice,,pepper,Pfeffer,,4.5,1670.0,
Pfund (lb),Spice,,pepper,Pfeffer,,3.5,1671.0,
Pfund (lb),Spice,,pepper,Pfeffer,,6.0,1672.0,
Pfund (lb),Spice,,pepper,Pfeffer,,4.5,1673.0,
Pfund (lb),Spice,,pepper,Pfeffer,,6.0,1674.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1675.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1676.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1677.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1678.0,
Pfund (lb),Spice,,pepper,Pfeffer,,5.5,1679.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1680.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1681.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1682.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1683.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1684.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1685.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1686.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1687.0,
Pfund (lb),Spice,,pepper,Pfeffer,,,1688.0,
Pfund (lb),Spice,,ginger,Ingber,,,1640.0,
Pfund (lb),Spice,,ginger,Ingber,,204.72,1641.0,
Pfund (lb),Spice,,ginger,Ingber,,,1642.0,
Pfund (lb),Spice,,ginger,Ingber,,,1643.0,
Pfund (lb),Spice,,ginger,Ingber,,115.75,1644.0,
Pfund (lb),Spice,,ginger,Ingber,,221.75,1645.0,
Pfund (lb),Spice,,ginger,Ingber,,335.2,1646.0,
Pfund (lb),Spice,,ginger,Ingber,,,1647.0,
Pfund (lb),Spice,,ginger,Ingber,,4.25,1648.0,
Pfund (lb),Spice,,ginger,Ingber,,,1649.0,
Pfund (lb),Spice,,ginger,Ingber,,,1650.0,
Pfund (lb),Spice,,ginger,Ingber,,,1651.0,
Pfund (lb),Spice,,ginger,Ingber,,,1652.0,
Pfund (lb),Spice,,ginger,Ingber,,,1653.0,
Pfund (lb),Spice,,ginger,Ingber,,,1654.0,
Pfund (lb),Spice,,ginger,Ingber,,,1655.0,
Pfund (lb),Spice,,ginger,Ingber,,79.75,1656.0,- Rentspeicher Records!
Pfund (lb),Spice,,ginger,Ingber,,33.5,1657.0,: Außgabe
Pfund (lb),Spice,,ginger,Ingber,,,1658.0,
Pfund (lb),Spice,,ginger,Ingber,,5.75,1659.0,
Pfund (lb),Spice,,ginger,Ingber,,,1660.0,
Pfund (lb),Spice,,ginger,Ingber,,,1661.0,
Pfund (lb),Spice,,ginger,Ingber,,,1662.0,
Pfund (lb),Spice,,ginger,Ingber,,337.625,1663.0,
Pfund (lb),Spice,,ginger,Ingber,,112.25,1664.0,
Pfund (lb),Spice,,ginger,Ingber,,,1665.0,
Pfund (lb),Spice,,ginger,Ingber,,,1666.0,
Pfund (lb),Spice,,ginger,Ingber,,,1667.0,
Pfund (lb),Spice,,ginger,Ingber,,1.0,1668.0,
Pfund (lb),Spice,,ginger,Ingber,,,1669.0,
Pfund (lb),Spice,,ginger,Ingber,,4.375,1670.0,
Pfund (lb),Spice,,ginger,Ingber,,3.5,1671.0,
Pfund (lb),Spice,,ginger,Ingber,,6.0,1672.0,
Pfund (lb),Spice,,ginger,Ingber,,4.5,1673.0,
Pfund (lb),Spice,,ginger,Ingber,,6.0,1674.0,
Pfund (lb),Spice,,ginger,Ingber,,,1675.0,
Pfund (lb),Spice,,ginger,Ingber,,,1676.0,
Pfund (lb),Spice,,ginger,Ingber,,,1677.0,
Pfund (lb),Spice,,ginger,Ingber,,,1678.0,
Pfund (lb),Spice,,ginger,Ingber,,5.5,1679.0,
Pfund (lb),Spice,,ginger,Ingber,,,1680.0,
Pfund (lb),Spice,,ginger,Ingber,,,1681.0,
Pfund (lb),Spice,,ginger,Ingber,,,1682.0,
Pfund (lb),Spice,,ginger,Ingber,,,1683.0,
Pfund (lb),Spice,,ginger,Ingber,,,1684.0,
Pfund (lb),Spice,,ginger,Ingber,,,1685.0,
Pfund (lb),Spice,,ginger,Ingber,,,1686.0,
Pfund (lb),Spice,,ginger,Ingber,,,1687.0,
Pfund (lb),Spice,,ginger,Ingber,,,1688.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1640.0,
Pfund (lb),Spice,,muscat,M. Blumen,,26.2,1641.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1642.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1643.0,
Pfund (lb),Spice,,muscat,M. Blumen,,22.9,1644.0,
Pfund (lb),Spice,,muscat,M. Blumen,,42.14,1645.0,
Pfund (lb),Spice,,muscat,M. Blumen,,41.3,1646.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1647.0,
Pfund (lb),Spice,,muscat,M. Blumen,,0.25,1648.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1649.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1650.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1651.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1652.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1653.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1654.0,
Pfund (lb),Spice,,muscat,M. Blumen,,,1655.0,
Pfund (lb),Spice,,muscat,M. Blumen,,76.0,1656.0,- Rentspeicher Records!
Pfund (lb),Spice,,muscat,M. Blumen,,9.0,1657.0,: Außgabe
Pfund (lb),Spice,,muscat,M. Blumen,,,1658.0,
