date,winter,spring,summer,fall
1640,0,0,0,0.024657534
1641,0.246575343,0.252054795,0.224657534,0.082191781
1642,0.246575343,0.252054795,0.252054795,0.252054795
1643,0.112328767,0,0,0
1644,0,0,0,0
1645,0.104109589,0.252054795,0.252054795,0.252054795
1646,0.161643836,0.169863014,0,0
1647,0,0,0,0
1648,0,0,0,0
1649,0,0,0,0
1650,0,0,0,0
1651,0,0,0,0
1652,0,0,0,0
1653,0,0,0,0
1654,0,0,0,0
1655,0.084931507,0,0,0.082191781
1656,0.164383562,0.252054795,0.252054795,0.115068493
1657,0,0,0,0
1658,0,0,0,0
1659,0,0,0,0
1660,0,0,0,0
1661,0,0,0,0
1662,0.046575342,0,0,0.167123288
1663,0.071232877,0.252054795,0.252054795,0.15890411
1664,0,0,0,0
1665,0,0,0,0
1666,0,0,0,0
1667,0,0,0,0
1668,0.084931507,0,0,0.232876712
1669,0.161643836,0.252054795,0.232876712,0
1670,0,0,0,0
1671,0,0,0,0
1672,0,0,0,0
1673,0,0,0,0
1674,0,0,0,0
1675,0,0,0,0
1676,0,0,0,0
1677,0,0,0,0
1678,0,0,0,0
1679,0.002739726,0.054794521,0,0
1680,0,0,0,0
1681,0,0,0,0
1682,0,0,0,0
1683,0,0,0,0
1684,0,0,0,0
1685,0,0,0,0
1686,0,0,0,0
1687,0,0,0,0
1688,0,0,0,0
